Month,Day,Mean_Temperature,Max_Temperature,Min_Temperature,Daily_Rainfall_Total_mm,Date
9,24,28.7,32.2,24.9,9.4,2021-09-24
9,25,26.4,29.4,23.3,23.4,2021-09-25
9,26,28.3,32.3,25.6,0,2021-09-26
9,27,28.7,32.6,26.3,0,2021-09-27
9,28,28.9,32.1,26.8,0,2021-09-28
9,29,28.9,31.3,26.9,0,2021-09-29
9,30,29.1,32.3,27,0,2021-09-30
10,1,29.1,32.6,27,0,2021-10-01
10,2,28.9,31.5,26.8,0,2021-10-02
10,3,28.9,32.6,25.9,0,2021-10-03
10,4,27.5,30.2,24.1,6.6,2021-10-04
10,5,27.2,30.8,25.2,0,2021-10-05
10,6,28.7,31.9,25.8,0,2021-10-06
10,7,29,32,27,0,2021-10-07
10,8,29.3,32.2,27,0,2021-10-08
10,9,29.2,32.1,27.4,0,2021-10-09
10,10,29.5,32.6,27.8,0,2021-10-10
10,11,28.8,32.2,26.8,0,2021-10-11
10,12,28.4,32.6,26.5,0,2021-10-12
10,13,29.1,34.1,26.4,0,2021-10-13
10,14,28.5,33.8,26,0,2021-10-14
10,15,29,32.8,26.3,0,2021-10-15
10,16,27.5,31.2,24.2,32.6,2021-10-16
10,17,28.4,32.4,25.6,2.4,2021-10-17
10,18,27.4,31.6,24.7,2.8,2021-10-18
10,19,27.6,32,24.8,0,2021-10-19
10,20,28.8,32.5,25.4,0,2021-10-20
10,21,27.2,29.3,24.9,4.6,2021-10-21
10,22,26,28.1,24.8,6,2021-10-22
10,23,28.2,32.4,25,0,2021-10-23
10,24,28.7,33.1,25.1,0,2021-10-24
10,25,29.2,33.2,26.1,0,2021-10-25
10,26,29.4,33.1,26.9,0,2021-10-26
10,27,27.5,32.1,24.4,32.8,2021-10-27
10,28,28,32.4,25,3.2,2021-10-28
10,29,29,33,25.7,0,2021-10-29
10,30,28.5,33.5,24.9,11.6,2021-10-30
10,31,27.7,32.6,24,17.4,2021-10-31
11,1,28.3,31.8,25.8,4.4,2021-11-01
11,2,29.3,32.6,26.1,0,2021-11-02
11,3,29.6,32.7,26.7,0,2021-11-03
11,4,29.7,32.9,26.9,0,2021-11-04
11,5,27.7,33.4,23.8,20.6,2021-11-05
11,6,26.1,30.7,22.8,12.4,2021-11-06
11,7,26.5,31.6,24.1,10.4,2021-11-07
11,8,27.2,32.4,23.2,50.4,2021-11-08
11,9,27.3,30.4,24,4.4,2021-11-09
11,10,27.1,30,25.1,1.4,2021-11-10
11,11,26.7,31.6,24.3,5,2021-11-11
11,12,27.2,32.3,24.4,0.4,2021-11-12
11,13,27,32,22.2,64.4,2021-11-13
11,14,27.8,32.8,25,0.2,2021-11-14
11,15,27.1,30.9,24.4,13.6,2021-11-15
11,16,26.4,30.8,24.5,8,2021-11-16
11,17,26.5,32,24.7,0.2,2021-11-17
11,18,25.6,26.9,24.8,7.6,2021-11-18
11,19,27.6,32.3,24.6,0,2021-11-19
11,20,27.8,31.5,25.9,0,2021-11-20
11,21,27.4,30.9,25.3,0.2,2021-11-21
11,22,27.9,32.3,25.5,1.6,2021-11-22
11,23,27.9,32.1,25.9,3.2,2021-11-23
11,24,27.7,32.1,24.9,1.6,2021-11-24
11,25,28,32.7,25.4,0.2,2021-11-25
11,26,27.3,32.5,23.7,39.4,2021-11-26
11,27,27.7,31,25.2,0,2021-11-27
11,28,28,30.9,26.2,0.6,2021-11-28
11,29,26.6,31.4,24.9,0.6,2021-11-29
11,30,27.9,31,24.8,0,2021-11-30
12,1,26.4,29.8,22.4,26.4,2021-12-01
12,2,28,32.7,24.9,0,2021-12-02
12,3,28.6,33.5,25.6,0,2021-12-03
12,4,25.9,27.6,23.6,18.8,2021-12-04
12,5,28,32,24.8,0,2021-12-05
12,6,26.8,30,23.4,27.4,2021-12-06
12,7,26.8,33.6,23.8,35.2,2021-12-07
12,8,27,30.4,24.5,0,2021-12-08
12,9,28,31.4,25.1,0,2021-12-09
12,10,28.4,32.1,26,0,2021-12-10
12,11,28.2,31.8,25.7,0,2021-12-11
12,12,28.4,32.2,25.7,0,2021-12-12
12,13,28.6,32,26,0,2021-12-13
12,14,28.9,32.4,26.1,0,2021-12-14
12,15,27.9,32,25.6,0,2021-12-15
12,16,26.8,29.4,25.7,5,2021-12-16
12,17,26.4,30,24,17.6,2021-12-17
12,18,27.8,31.7,25.2,0,2021-12-18
12,19,25.2,26.4,24.2,15.6,2021-12-19
12,20,26.9,32.1,24.5,0.4,2021-12-20
12,21,27.2,31.4,25.2,0.4,2021-12-21
12,22,26.8,30.1,24.6,0.6,2021-12-22
12,23,26.4,28.8,25.2,0.2,2021-12-23
12,24,26.9,30.9,25,0.6,2021-12-24
12,25,27.3,30.4,25.1,36.4,2021-12-25
12,26,25.4,29.8,23.7,48.2,2021-12-26
12,27,26,30.3,23.8,9.6,2021-12-27
12,28,26.2,29.9,24.2,1.2,2021-12-28
